Date,Amount,Currency,Category,Description
2025-05-13,3.82,USD,Food,HBD ah Vith 
2025-05-14,6000,KHR,Food,Lunch
2025-05-14,13.2,USD,Utilities,Items from Macro
2025-05-14,3.14,USD,Food,Dinner
2025-05-15,6000,KHR,Food,Breakfast 
2025-05-15,5000,KHR,Food,Dinner
2025-05-16,3000,KHR,Food,Breakfast 
2025-05-16,9000,KHR,Food,Lunch
2025-05-17,6500,KHR,Food,Breakfast 
2025-05-17,2500,KHR,Food,Lunch
2025-05-17,3500,KHR,Travel,Go to walk street 
2025-05-17,10000,KHR,Food,Dinner
2025-05-18,10000,KHR,Food,Lunch
2025-05-18,5000,KHR,Food,Eggs 
2025-05-18,4000,KHR,Food,Dinner
2025-05-19,3000,KHR,Food,Breakfast 
2025-05-19,8000,KHR,Food,Lunch
2025-05-19,4000,KHR,Food,Dinner
2025-05-20,2500,KHR,Food,Breakfast 
2025-05-20,8000,KHR,Food,Lunch
2025-05-20,4000,KHR,Food,Dinner 
2025-05-21,7000,KHR,Food,Lunch
2025-05-21,4500,KHR,Food,Dinner
2025-05-22,3500,KHR,Food,Breakfast 
2025-05-22,8000,KHR,Food,Lunch
2025-05-22,3000,KHR,Food,Dinner
2025-05-23,5000,KHR,Food,Breakfast 
2025-05-23,7500,KHR,Food,Lunch
2025-05-23,3.77,USD,Travel,Petroleum 
2025-05-23,5000,KHR,Food,Dinner
2025-05-24,12500,KHR,Food,Lunch
2025-05-25,10000,KHR,Food,Foods 
2025-05-26,7000,KHR,Food,Lunch
2025-05-26,5000,KHR,Food,Dinner
2025-05-27,4000,KHR,Food,Breakfast 
2025-05-27,8000,KHR,Food,Lunch
2025-05-27,4500,KHR,Food,Smoothie 
2025-05-27,2500,KHR,Food,Dinner 
2025-05-27,8500,KHR,Food,Socks and masks 
2025-05-28,5000,KHR,Food,Breakfast 
2025-05-28,9000,KHR,Food,Lunch
2025-05-28,2000,KHR,Food,Sugarcane juice 
2025-05-28,3200,KHR,Food,Dinner
2025-05-29,9000,KHR,Food,Lunch
2025-05-29,20000,KHR,Food,Avocado 
2025-05-30,3000,KHR,Food,Breakfast 
2025-05-30,8500,KHR,Food,Lunch
2025-05-30,6000,KHR,Food,Dinner
2025-05-31,5000,KHR,Food,Breakfast 
2025-05-31,3000,KHR,Food,Snack
2025-05-31,10000,KHR,Food,Dinner
2025-06-01,4500,KHR,Food,Lunch 
2025-06-01,5500,KHR,Food,Dinner
2025-06-01,60000,KHR,Utilities,
2025-06-02,8500,KHR,Food,Lunch
2025-06-02,4500,KHR,Food,Dinner
2025-06-02,30000,KHR,Utilities,Non-Criminal records 
2025-06-02,4.95,USD,Utilities,VPS on Contabo
2025-06-02,1.16,USD,Utilities,Domain name
2025-06-03,5000,KHR,Food,Breakfast 
2025-06-03,9000,KHR,Food,Lunch
2025-06-03,8500,KHR,Food,Medicine 
2025-06-03,20,USD,Food,HBD party with brothers
2025-06-04,5000,KHR,Food,Breakfast 
2025-06-04,7500,KHR,Food,Lunch
2025-06-04,5000,KHR,Food,Dinner
2025-06-05,5000,KHR,Food,Breakfast 
2025-06-05,6800,KHR,Food,Lunch
2025-06-05,30,USD,Utilities,Case and screen 
2025-06-05,3.40,USD,Travel,Petroleum 
2025-06-06,4500,KHR,Food,Breakfast 
2025-06-06,9000,KHR,Food,Lunch
2025-06-06,3500,KHR,Food,Dinner
2025-06-07,5000,KHR,Food,Lunch
2025-06-07,7000,KHR,Food,Dinner
2025-06-08,7000,KHR,Food,Lunch 
2025-06-08,5000,KHR,Food,Dinner
2025-06-08,2000,KHR,Travel,Parking at walk street 
2025-06-09,3500,KHR,Food,Breakfast 
2025-06-09,8000,KHR,Food,Lunch
2025-06-09,3500,KHR,Food,Dinner
2025-06-10,3000,KHR,Food,Breakfast 
2025-06-10,8000,KHR,Food,Lunch
2025-06-10,5000,KHR,Food,Dinner
2025-06-11,4000,KHR,Food,Breakfast 
2025-06-11,7000,KHR,Food,Lunch
2025-06-11,15000,KHR,Others,Report hard copy
2025-06-11,5000,KHR,Food,Dinner
2025-06-12,4000,KHR,Food,Breakfast 
2025-06-12,7000,KHR,Food,Lunch
2025-06-12,20000,KHR,Food,Report reprint 
2025-06-12,3500,KHR,Food,Dinner
2025-06-13,2500,KHR,Travel,Parking
2025-06-13,3000,KHR,Others,Make report book
2025-06-13,10000,KHR,Food,Lunch
2025-06-13,7000,KHR,Food,Dinner
2025-06-14,5000,KHR,Food,Breakfast 
2025-06-14,5.5,USD,Travel,Engine oil 
2025-06-14,3.62,USD,Food,Petroleum 
2025-06-14,8000,KHR,Others,Medicine 
2025-06-14,3000,KHR,Food,Lunch
2025-06-14,5000,KHR,Food,Dinner
2025-06-16,8500,KHR,Food,Lunch
2025-06-16,7.8,USD,Food,Dinner with bro sal
2025-06-17,4000,KHR,Food,Breakfast 
2025-06-17,2,USD,Food,Lunch
2025-06-17,5000,KHR,Food,Dinner
2025-06-18,7000,KHR,Food,Lunch
2025-06-18,3.5,USD,Others,Movie 
2025-06-18,2.9,USD,Food,Dinner 
2025-06-19,7000,KHR,Food,Lunch
2025-06-19,5000,KHR,Food,Snack
2025-06-19,5000,KHR,Food,Dinner
2025-06-20,4500,KHR,Food,Breakfast 
2025-06-20,10000,KHR,Food,Lunch
2025-06-21,7000,KHR,Food,Lunch 
2025-06-21,7000,KHR,Food,Dinner
2025-06-21,23000,KHR,Others,Medicine 
2025-06-22,4000,KHR,Food,Lunch
2025-06-22,16000,KHR,Food,Dinner
2025-06-22,3.5,USD,Others,Kungfu room
2025-06-23,4000,USD,Food,Breakfast 
2025-06-23,7200,KHR,Food,Lunch
2025-06-23,3000,KHR,Food,Dinner
2025-06-24,5000,KHR,Food,Breakfast 
2025-06-24,5000,KHR,Food,Lunch
2025-06-24,8000,KHR,Food,Dinner
2025-06-24,9000,USD,Others,Slide
2025-06-25,5000,KHR,Food,Breakfast 
2025-06-25,4000,KHR,Food,Lunch
2025-06-25,12.51,USD,Food,Party defense day
2025-06-26,4000,KHR,Food,Breakfast 
2025-06-26,7000,KHR,Food,Lunch
2025-06-26,7000,KHR,Food,Dinner 
2025-06-26,100.41,USD,Utilities,Buy some items from TaoBao
2025-06-27,9500,KHR,Food,Lunch
2025-06-27,3.7,USD,Travel,Petroleum 
2025-06-27,9000,KHR,Food,Dinner
2025-06-28,7000,KHR,Food,Lunch
2025-06-28,4,USD,Food,Dinner
2025-06-29,5000,KHR,Food,Lunch
2025-06-29,5000,KHR,Food,Egg
2025-06-29,6000,KHR,Food,Dinner 
2025-06-30,3000,KHR,Food,Breakfast 
2025-06-30,7000,KHR,Food,Lunch
2025-06-30,3500,KHR,Food,Dinner 
2025-07-01,5000,KHR,Food,Breakfast 
2025-07-01,8000,KHR,Food,Lunch
2025-07-01,4000,KHR,Food,Dinner
2025-07-02,8500,KHR,Food,Lunch
2025-07-02,4000,KHR,Food,Dinner 
2025-07-02,10,USD,Utilities,Kettle 
2025-07-02,33,USD,Utilities,Fans 
2025-07-03,7000,KHR,Food,Lunch
2025-07-03,4500,KHR,Food,Dinner
2025-07-04,7000,KHR,Food,Lunch 
2025-07-04,16500,KHR,Food,Water
2025-07-04,2500,KHR,Food,Dinner
2025-07-04,14000,KHR,Food,Meatballs 
2025-07-05,3500,KHR,Utilities,Comfort 
2025-07-06,1000,KHR,Travel,Parking at AEON
2025-07-06,2.6,USD,Utilities,Paper 
2025-07-06,5000,KHR,Food,Egg
2025-07-06,8500,KHR,Food,Dinner
2025-07-06,5000,KHR,Food,Breakfast 
2025-07-06,9000,KHR,Food,Lunch
2025-07-07,7000,KHR,Food,Durian smoothie 
2025-07-07,4000,KHR,Food,Dinner
2025-07-08,1500,KHR,Food,Coconut milk 
2025-07-08,4000,KHR,Food,Dinner
2025-07-09,17000,KHR,Food,Porridge with bro bro 
2025-07-10,12000,KHR,Food,Lunch 
2025-07-10,4500,KHR,Food,Dinner
2025-07-11,2500,KHR,Food,Breakfast 
2025-07-11,7000,KHR,Food,Lunch
2025-07-11,3.5,USD,Others,Movie 
2025-07-11,23,USD,Utilities,Toothpaste, toothbrush roll on..
2025-07-11,13000,KHR,Food,Dinner
2025-07-12,8000,KHR,Food,Lunch
2025-07-12,55000,KHR,Utilities,Chair 
2025-07-12,12000,KHR,Food,Dinner
2025-07-12,48.71,USD,Utilities,Clothes 
2025-07-13,8000,KHR,Food,Lunch
2025-07-13,9000,KHR,Food,Dinner
2025-07-14,5000,KHR,Food,Breakfast 
2025-07-14,3500,KHR,Food,Snack
2025-07-14,4500,KHR,Food,Dinner
2025-07-15,2000,KHR,Food,Breakfast 
2025-07-15,16500,KHR,Food,Water
2025-07-15,2500,KHR,Food,Dinner
2025-07-16,2500,KHR,Food,Breakfast 
2025-07-16,7000,KHR,Food,Lunch 
2025-07-16,7000,KHR,Food,Dinner
2025-07-17,7000,KHR,Food,Lunch
2025-07-17,15.5,USD,Travel,Shipping fee 
2025-07-18,9000,KHR,Food,Lunch
2025-07-18,3500,KHR,Food,Snack
2025-07-18,8000,KHR,Food,Dinner
2025-07-19,7500,KHR,Food,Lunch
2025-07-19,15000,KHR,Utilities,
2025-07-19,17500,KHR,Food,Dinner 
2025-07-20,7000,KHR,Food,Lunch
2025-07-20,7500,KHR,Food,Dinner 
2025-07-21,3500,KHR,Food,Dinner
2025-07-22,3500,KHR,Food,Snack
2025-07-22,8000,KHR,Food,Dinner
2025-07-23,9000,KHR,Food,Lunch 
2025-07-23,6000,KHR,Food,Dinner 
2025-07-24,7000,KHR,Food,Lunch 
2025-07-24,5500,KHR,Food,Snacks 
2025-07-24,6000,KHR,Food,Dinner 
2025-07-25,2500,KHR,Food,Breakfast 
2025-07-25,11000,KHR,Food,Lunch 
2025-07-25,20000,KHR,Food,Dinner
2025-07-26,5500,KHR,Food,Lunch
2025-07-26,6.5,USD,Food,Dinner 
2025-07-27,12000,KHR,Food,Dinner 
2025-07-28,5000,KHR,Food,Breakfast 
2025-07-28,9000,KHR,Food,Lunch
2025-07-28,5000,KHR,Food,Snack
2025-07-28,4500,KHR,Food,Dinner 
2025-07-29,5000,KHR,Food,Snacks 
2025-07-29,13500,KHR,Food,Sausage 
2025-07-29,3500,KHR,Food,Dinner 
2025-07-30,6000,KHR,Food,Snacks 
2025-07-30,15.5,USD,Food,Dinner with brothers
